lower_label,upper_label,lower_parity,upper_parity,wavelength_nm,ritz_wavelength_nm,transition_wavenumber_cm,Aki_s,accuracy,lower_energy_cm,upper_energy_cm,lower_configuration,lower_term_raw,lower_J,upper_configuration,upper_term_raw,upper_J,transition_type,tp_reference,line_reference
5s2 1S0,"4d9p (3/2,3/2)1",even,odd,173.471,173.4705,57646.7,,,0.000,57646.7,5s2,1S,0,4d.9p,"(3/2,3/2)*",1,,,L7603
5s2 1S0,"4d6f (5/2,7/2)1",even,odd,173.703,173.7031,57569.5,,,0.000,57569.5,5s2,1S,0,4d.6f,"(5/2,7/2)*",1,,,L7603
5s2 1S0,"4d6f (5/2,5/2)1",even,odd,173.982,173.9823,57477.1,,,0.000,57477.1,5s2,1S,0,4d.6f,"(5/2,5/2)*",1,,,L7603
5s2 1S0,"4d6f (3/2,5/2)1",even,odd,174.717,174.7167,57235.5,,,0.000,57235.5,5s2,1S,0,4d.6f,"(3/2,5/2)*",1,,,L7603
5s2 1S0,4d(2D<5/2>)8p 2[3/2]1,even,odd,175.622,175.622,56940.5,,,0.000,56940.5,5s2,1S,0,4d.(2D<5/2>).8p,2[3/2]*,1,,,L413
5s2 1S0,4d(2D<3/2>)8p 2[1/2]1,even,odd,176.647,176.6469,56610.1,,,0.000,56610.1,5s2,1S,0,4d.(2D<3/2>).8p,2[1/2]*,1,,,L7603
5s2 1S0,4d(2D<3/2>)8p 2[3/2]1,even,odd,177.279,177.2792,56408.2,,,0.000,56408.2,5s2,1S,0,4d.(2D<3/2>).8p,2[3/2]*,1,,,L7603
5s2 1S0,"4d5f (5/2,7/2)1",even,odd,178.032,178.0322,56169.6,,,0.000,56169.6,5s2,1S,0,4d.5f,"(5/2,7/2)*",1,,,L7603
5s2 1S0,"4d5f (5/2,5/2)1",even,odd,178.229,178.2287,56107.7,,,0.000,56107.7,5s2,1S,0,4d.5f,"(5/2,5/2)*",1,,,L7603
5s2 1S0,"4d5f (3/2,5/2)1",even,odd,179.060,179.0597,55847.3,,,0.000,55847.3,5s2,1S,0,4d.5f,"(3/2,5/2)*",1,,,L7603
5s2 1S0,4d(2D<5/2>)7p 2[3/2]1,even,odd,181.174,181.174,55195.6,,,0.000,55195.6,5s2,1S,0,4d.(2D<5/2>).7p,2[3/2]*,1,,,L413
5s2 1S0,4d(2D<3/2>)7p 2[3/2]1,even,odd,182.719,182.7195,54728.7,,,0.000,54728.7,5s2,1S,0,4d.(2D<3/2>).7p,2[3/2]*,1,,,L7603
5s2 1S0,4d(2D<5/2>)4f 2[3/2]1,even,odd,186.755,186.7546,53546.2,,,0.000,53546.2,5s2,1S,0,4d.(2D<5/2>).4f,2[3/2]*,1,,,L7603
5s2 1S0,4d(2D<3/2>)4f 2[3/2]1,even,odd,187.783,187.7828,53253.0,,,0.000,53253.0,5s2,1S,0,4d.(2D<3/2>).4f,2[3/2]*,1,,,L7603
5s2 1S0,4d6p 1P1,even,odd,195.70,195.699,51099,,,0.000,51099,5s2,1S,0,4d.6p,1P*,1,,,L7603
conf_i term_iJ_i,conf_k term_kJ_k,even,even,obs_wl_air(nm),ritz_wl_air(nm),wn(cm-1),Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
5s2 1S0,4d6p 3P1,even,odd,201.76,201.763,49547,,,0.000,49547,5s2,1S,0,4d.6p,3P*,1,,,L7603
5s2 1S0,4d6p 3D1,even,odd,202.321,202.3235,49410.5,,,0.000,49409.86,5s2,1S,0,4d.6p,3D*,1,,,L7603
5s2 1S0,5s20p 1P1,even,odd,219.3977,219.39814,45565.08,2.56e+05,A',0.000,45565.00,5s2,1S,0,5s.20p,1P*,1,,T5889,L7603
5s2 1S0,5s19p 1P1,even,odd,219.6214,219.62161,45518.69,3.2e+05,B',0.000,45518.64,5s2,1S,0,5s.19p,1P*,1,,T4337,L7603
5s2 1S0,5s19s 1S0,even,even,219.7664,219.765764,45488.66,,,0.000,45488.7860,5s2,1S,0,5s.19s,1S,0,2P,,L14021
5s2 1S0,5s18p 1P1,even,odd,219.8892,219.89033,45463.25,4.2e+05,B',0.000,45463.02,5s2,1S,0,5s.18p,1P*,1,,T4337,L7603
5s2 1S0,5s18s 1S0,even,even,220.0663,220.066879,45426.67,,,0.000,45426.5505,5s2,1S,0,5s.18s,1S,0,2P,,L14021
5s2 1S0,5s17p 1P1,even,odd,220.2176,220.21820,45395.47,5.0e+05,B',0.000,45395.34,5s2,1S,0,5s.17p,1P*,1,,T4337,L7603
5s2 1S0,5s17s 1S0,even,even,220.4362,220.437273,45350.45,,,0.000,45350.2296,5s2,1S,0,5s.17s,1S,0,2P,,L14021
5s2 1S0,5s16p 1P1,even,odd,220.6239,220.62332,45311.87,6.4e+05,B',0.000,45311.99,5s2,1S,0,5s.16p,1P*,1,,T4337,L7603
5s2 1S0,5s16s 1S0,even,even,220.9011,220.900063,45255.02,,,0.000,45255.2295,5s2,1S,0,5s.16s,1S,0,2P,,L14021
5s2 1S0,5s15p 1P1,even,odd,221.1310,221.13170,45207.98,8.5e+05,B',0.000,45207.83,5s2,1S,0,5s.15p,1P*,1,,T4337,L7603
5s2 1S0,5s15s 1S0,even,even,221.4885,221.488923,45135.01,,,0.000,45134.9242,5s2,1S,0,5s.15s,1S,0,2P,,L14021
5s2 1S0,5s14p 1P1,even,odd,221.7816,221.78198,45075.36,1.17e+06,B',0.000,45075.29,5s2,1S,0,5s.14p,1P*,1,,T4337,L7603
5s2 1S0,5s14s 1S0,even,even,222.2564,222.254570,44979.09,,,0.000,44979.4540,5s2,1S,0,5s.14s,1S,0,2P,,L14021
5s2 1S0,5s13p 1P1,even,odd,222.6304,222.63055,44903.54,1.57e+06,B',0.000,44903.50,5s2,1S,0,5s.13p,1P*,1,,T4337,L7603
5s2 1S0,5s13s 1S0,even,even,223.2771,223.276170,44773.48,,,0.000,44773.6707,5s2,1S,0,5s.13s,1S,0,2P,,L14021
5s2 1S0,4d2 3P2,even,even,223.4971,223.49604,44729.42,,,0.000,44729.627,5s2,1S,0,4d2,3P,2,2P,,L14021
5s2 1S0,5s12p 1P1,even,odd,223.7655,223.76566,44675.77,2.4e+06,B',0.000,44675.737,5s2,1S,0,5s.12p,1P*,1,,T4337,L7603
5s2 1S0,4d2 3P0,even,even,224.5173,224.51906,44526.18,,,0.000,44525.838,5s2,1S,0,4d2,3P,0,2P,,L14021
5s2 1S0,5s12s 1S0,even,even,224.6863,224.685611,44492.69,,,0.000,44492.8348,5s2,1S,0,5s.12s,1S,0,2P,,L14021
5s2 1S0,5s11p 1P1,even,odd,225.3256,225.32588,44366.48,3.7e+06,B,0.000,44366.42,5s2,1S,0,5s.11p,1P*,1,,T4337,L7603
5s2 1S0,5s10p 1P1,even,odd,227.5304,227.52210,43936.60,6.6e+06,B',0.000,43938.201,5s2,1S,0,5s.10p,1P*,1,,T3039,L7603
5s2 1S0,5s9p 1P1,even,odd,230.7264,230.7264,43328.04,1.15e+07,B',0.000,43328.04,5s2,1S,0,5s.9p,1P*,1,,T3039,L7603
5s2 1S0,5s8p 1P1,even,odd,235.4319,235.43190,42462.136,1.8e+07,C+,0.000,42462.136,5s2,1S,0,5s.8p,1P*,1,,T3039,L7362
5s2 1S0,4d5p 1P1,even,odd,242.8095,242.80949,41172.053,1.7e+07,C+,0.000,41172.054,5s2,1S,0,4d.5p,1P*,1,,T3039,L7362
5s2 1S0,5s7p 1P1,even,odd,256.9469,256.94711,38906.890,5.3e+06,B,0.000,38906.858,5s2,1S,0,5s.7p,1P*,1,,T3039,L7362
5s2 1S0,5s6p 1P1,even,odd,293.1830,293.18309,34098.414,1.9e+06,C+,0.000,34098.404,5s2,1S,0,5s.6p,1P*,1,,T3039,L7362
5s4d 3D2,4d6p 3P2,even,odd,317.228,317.235,31513.9,,,18218.784,49732.0,5s.4d,3D,2,4d.6p,3P*,2,,,L7603
5s4d 3D2,4d6p 3D3,even,odd,317.903,317.9035,31447.0,,,18218.784,49665.77,5s.4d,3D,2,4d.6p,3D*,3,,,L7603
5s4d 3D3,4d6p 3P2,even,odd,318.258,318.250,31412.0,,,18319.261,49732.0,5s.4d,3D,3,4d.6p,3P*,2,,,L7603
5s4d 3D1,4d6p 3D2,even,odd,318.387,318.3868,31399.2,,,18159.040,49558.30,5s.4d,3D,1,4d.6p,3D*,2,,,L7603
5s4d 3D3,4d6p 3D3,even,odd,318.923,318.9226,31346.5,,,18319.261,49665.77,5s.4d,3D,3,4d.6p,3D*,3,,,L7603
5s4d 3D2,4d6p 3D2,even,odd,318.994,318.9937,31339.5,,,18218.784,49558.30,5s.4d,3D,2,4d.6p,3D*,2,,,L7603
5s4d 3D1,4d6p 3D1,even,odd,319.900,319.8991,31250.8,,,18159.040,49409.86,5s.4d,3D,1,4d.6p,3D*,1,,,L7603
5s4d 3D3,4d6p 3D2,even,odd,320.020,320.0198,31239.1,,,18319.261,49558.30,5s.4d,3D,3,4d.6p,3D*,2,,,L7603
5s4d 3D2,4d6p 3D1,even,odd,320.511,320.5119,31191.1,,,18218.784,49409.86,5s.4d,3D,2,4d.6p,3D*,1,,,L7603
5s5p 3P0,4d2 3P1,odd,even,330.1734,330.17324,30278.398,5.9e+07,B',14317.507,44595.920,5s.5p,3P*,0,4d2,3P,1,,T2979,L7362
5s5p 3P1,4d2 3P2,odd,even,330.7534,330.75352,30225.304,,,14504.334,44729.627,5s.5p,3P*,1,4d2,3P,2,,,L7362
5s5p 3P1,4d2 3P1,odd,even,332.2231,332.22322,30091.597,,,14504.334,44595.920,5s.5p,3P*,1,4d2,3P,1,,,L7362
5s5p 3P1,4d2 3P0,odd,even,332.9988,332.99879,30021.503,,,14504.334,44525.838,5s.5p,3P*,1,4d2,3P,0,,,L7362
5s5p 3P2,4d2 3P2,odd,even,335.1246,335.12450,29831.073,,,14898.545,44729.627,5s.5p,3P*,2,4d2,3P,2,,,L7362
5s5p 3P2,4d2 3P1,odd,even,336.6333,336.63339,29697.383,,,14898.545,44595.920,5s.5p,3P*,2,4d2,3P,1,,,L7362
5s5p 3P1,5s8d 3D2,odd,even,349.9672,349.96720,28565.934,,,14504.334,43070.268,5s.5p,3P*,1,5s.8d,3D,2,,,L7362
5s5p 3P2,5s8d 3D3,odd,even,354.8083,354.80831,28176.183,,,14898.545,43074.728,5s.5p,3P*,2,5s.8d,3D,3,,,L7362
5s5p 3P1,5s9s 3S1,odd,even,357.7243,357.720,27946.511,,,14504.334,42451.16,5s.5p,3P*,1,5s.9s,3S,1,,,L7362
5s5p 3P2,5s9s 3S1,odd,even,362.8345,362.839,27552.920,,,14898.545,42451.16,5s.5p,3P*,2,5s.9s,3S,1,,,L7362
5s5p 3P0,5s7d 3D1,odd,even,362.9144,362.91449,27546.854,,,14317.507,41864.354,5s.5p,3P*,0,5s.7d,3D,1,,,L7362
5s4d 3D1,5s19f 3F2,even,odd,363.9902,363.9902,27465.439,,,18159.040,45624.48,5s.4d,3D,1,5s.19f,3F*,2,,,L4447
5s4d 3D2,5s20f 3F3,even,odd,364.3838,364.3838,27435.773,,,18218.784,45654.56,5s.4d,3D,2,5s.20f,3F*,3,,,L4447
5s4d 3D1,5s18f 3F2,even,odd,364.4595,364.4596,27430.074,,,18159.040,45589.11,5s.4d,3D,1,5s.18f,3F*,2,,,L4447
5s4d 3D2,5s19f 3F3,even,odd,364.7830,364.7830,27405.749,,,18218.784,45624.53,5s.4d,3D,2,5s.19f,3F*,3,,,L4447
5s4d 3D1,5s17f 3F2,even,odd,365.0159,365.0159,27388.263,,,18159.040,45547.30,5s.4d,3D,1,5s.17f,3F*,2,,,L4447
5s4d 3D2,5s18f 3F3,even,odd,365.2533,365.2533,27370.462,,,18218.784,45589.25,5s.4d,3D,2,5s.18f,3F*,3,,,L4447
5s5p 3P1,5s7d 3D2,odd,even,365.3270,365.32706,27364.941,,,14504.334,41869.270,5s.5p,3P*,1,5s.7d,3D,2,,,L7362
5s5p 3P1,5s7d 3D1,odd,even,365.3928,365.39271,27360.013,,,14504.334,41864.354,5s.5p,3P*,1,5s.7d,3D,1,,,L7362
5s4d 3D1,5s16f 3F2,even,odd,365.6819,365.6819,27338.383,,,18159.040,45497.42,5s.4d,3D,1,5s.16f,3F*,2,,,L4447
5s4d 3D3,5s20f 3F4,even,odd,365.7213,365.7213,27335.438,,,18319.261,45654.70,5s.4d,3D,3,5s.20f,3F*,4,,,L4447
5s4d 3D2,5s17f 3F3,even,odd,365.8125,365.8125,27328.624,,,18218.784,45547.41,5s.4d,3D,2,5s.17f,3F*,3,,,L4447
5s4d 3D3,5s19f 3F4,even,odd,366.1267,366.1267,27305.171,,,18319.261,45624.43,5s.4d,3D,3,5s.19f,3F*,4,,,L4447
5s4d 3D2,5s16f 3F3,even,odd,366.4827,366.4827,27278.648,,,18218.784,45497.43,5s.4d,3D,2,5s.16f,3F*,3,,,L4447
5s4d 3D1,5s15f 3F2,even,odd,366.4907,366.4907,27278.053,,,18159.040,45437.09,5s.4d,3D,1,5s.15f,3F*,2,,,L4447
5s4d 3D3,5s18f 3F4,even,odd,366.5993,366.5993,27269.972,,,18319.261,45589.23,5s.4d,3D,3,5s.18f,3F*,4,,,L4447
5s4d 3D3,5s17f 3F4,even,odd,367.1627,367.1627,27228.128,,,18319.261,45547.39,5s.4d,3D,3,5s.17f,3F*,4,,,L4447
5s4d 3D2,5s15f 3F3,even,odd,367.2951,367.2951,27218.313,,,18218.784,45437.10,5s.4d,3D,2,5s.15f,3F*,3,,,L4447
5s4d 3D1,5s14f 3F2,even,odd,367.4859,367.4859,27204.182,,,18159.040,45363.22,5s.4d,3D,1,5s.14f,3F*,2,,,L4447
5s4d 3D3,5s16f 3F4,even,odd,367.8368,367.8368,27178.231,,,18319.261,45497.49,5s.4d,3D,3,5s.16f,3F*,4,,,L4447
5s4d 3D2,5s14f 3F3,even,odd,368.2919,368.2919,27144.648,,,18218.784,45363.43,5s.4d,3D,2,5s.14f,3F*,3,,,L4447
5s4d 3D3,5s15f 3F4,even,odd,368.6559,368.6559,27117.847,,,18319.261,45437.11,5s.4d,3D,3,5s.15f,3F*,4,,,L4447
5s4d 3D1,5s13f 3F2,even,odd,368.7261,368.7262,27112.684,,,18159.040,45271.72,5s.4d,3D,1,5s.13f,3F*,2,,,L4447
5s4d 3D2,5s13f 3F3,even,odd,369.5409,369.5409,27052.905,,,18218.784,45271.69,5s.4d,3D,2,5s.13f,3F*,3,,,L4447
5s4d 3D3,5s14f 3F4,even,odd,369.6613,369.6614,27044.094,,,18319.261,45363.35,5s.4d,3D,3,5s.14f,3F*,4,,,L4447
5s4d 3D1,5s12f 3F2,even,odd,370.3078,370.3078,26996.880,,,18159.040,45155.92,5s.4d,3D,1,5s.12f,3F*,2,,,L4447
5s5p 3P2,5s7d 3D3,odd,even,370.5901,370.59012,26976.315,,,14898.545,41874.859,5s.5p,3P*,2,5s.7d,3D,3,,,L7362
5s5p 3P2,5s7d 3D2,odd,even,370.6674,370.66692,26970.690,,,14898.545,41869.270,5s.5p,3P*,2,5s.7d,3D,2,,,L4447
5s4d 3D3,5s13f 3F4,even,odd,370.9173,370.9173,26952.519,,,18319.261,45271.78,5s.4d,3D,3,5s.13f,3F*,4,,,L4447
5s4d 3D2,5s12f 3F3,even,odd,371.1279,371.1279,26937.225,,,18218.784,45156.01,5s.4d,3D,2,5s.12f,3F*,3,,,L4447
5s4d 3D1,5s11f 3F2,even,odd,372.3628,372.3628,26847.893,,,18159.040,45006.93,5s.4d,3D,1,5s.11f,3F*,2,,,L4447
5s4d 3D3,5s12f 3F4,even,odd,372.5165,372.5165,26836.816,,,18319.261,45156.08,5s.4d,3D,3,5s.12f,3F*,4,,,L4447
5s4d 3D2,5s11f 3F3,even,odd,373.1926,373.1926,26788.198,,,18218.784,45006.98,5s.4d,3D,2,5s.11f,3F*,3,,,L4447
5s4d 3D3,5s11f 3F4,even,odd,374.5958,374.5959,26687.854,,,18319.261,45007.11,5s.4d,3D,3,5s.11f,3F*,4,,,L4447
5s4d 3D1,5s10f 3F2,even,odd,375.1070,375.1069,26651.485,,,18159.040,44810.53,5s.4d,3D,1,5s.10f,3F*,2,,,L4447
5s4d 3D2,5s10f 3F3,even,odd,375.9493,375.9493,26591.775,,,18218.784,44810.56,5s.4d,3D,2,5s.10f,3F*,3,,,L4447
5s4d 3D3,5s10f 3F4,even,odd,377.3730,377.3729,26491.455,,,18319.261,44810.72,5s.4d,3D,3,5s.10f,3F*,4,,,L4447
5s5p 3P0,5s8s 3S1,odd,even,378.0527,378.0522,26443.828,,,14317.507,40761.372,5s.5p,3P*,0,5s.8s,3S,1,,,L7362
5s4d 3D1,5s9f 3F2,even,odd,378.8918,378.8923,26385.266,,,18159.040,44544.27,5s.4d,3D,1,5s.9f,3F*,2,,,L4447
5s4d 3D2,5s9f 3F3,even,odd,379.7502,379.7498,26325.625,,,18218.784,44544.44,5s.4d,3D,2,5s.9f,3F*,3,,,L4447
5s4d 3D2,5s9f 3F2,even,odd,379.7526,379.7522,26325.459,,,18218.784,44544.27,5s.4d,3D,2,5s.9f,3F*,2,,,L4447
5s5p 3P1,5s8s 3S1,odd,even,380.7424,380.7422,26257.024,,,14504.334,40761.372,5s.5p,3P*,1,5s.8s,3S,1,,,L7362
5s4d 3D3,5s9f 3F4,even,odd,381.2020,381.2020,26225.367,,,18319.261,44544.63,5s.4d,3D,3,5s.9f,3F*,4,,,L4447
5s4d 3D3,5s9f 3F3,even,odd,381.2044,381.2047,26225.202,,,18319.261,44544.44,5s.4d,3D,3,5s.9f,3F*,3,,,L4447
5s4d 3D1,5s8f 3F2,even,odd,384.3325,384.3325,26011.759,,,18159.040,44170.80,5s.4d,3D,1,5s.8f,3F*,2,,,L4447
5s4d 3D2,5s8f 3F3,even,odd,385.2144,385.2145,25952.210,,,18218.784,44170.99,5s.4d,3D,2,5s.8f,3F*,3,,,L4447
5s5p 3P2,5s8s 3S1,odd,even,386.5451,386.5457,25862.870,,,14898.545,40761.372,5s.5p,3P*,2,5s.8s,3S,1,,,L7362
5s4d 3D3,5s8f 3F4,even,odd,386.7067,386.7068,25852.063,,,18319.261,44171.32,5s.4d,3D,3,5s.8f,3F*,4,,,L4447
5s4d 1D2,5s20f 1F3,even,odd,391.9566,391.9566,25505.806,,,20149.685,45655.49,5s.4d,1D,2,5s.20f,1F*,3,,,L4447
5s4d 1D2,5s19f 1F3,even,odd,392.4184,392.4183,25475.791,,,20149.685,45625.48,5s.4d,1D,2,5s.19f,1F*,3,,,L4447
5s4d 3D1,5s7f 3F2,even,odd,392.5872,392.5869,25464.838,,,18159.040,43623.896,5s.4d,3D,1,5s.7f,3F*,2,,,L4447
5s4d 1D2,5s18f 1F3,even,odd,392.9607,392.9607,25440.634,,,20149.685,45590.32,5s.4d,1D,2,5s.18f,1F*,3,,,L4447
5s4d 1D2,5s20p 1P1,even,odd,393.3523,393.3522,25415.308,,,20149.685,45565.00,5s.4d,1D,2,5s.20p,1P*,1,,,L4447
5s4d 3D2,5s7f 3F3,even,odd,393.5056,393.5054,25405.407,,,18218.784,43624.205,5s.4d,3D,2,5s.7f,3F*,3,,,L4447
5s4d 3D2,5s7f 3F2,even,odd,393.5099,393.5102,25405.129,,,18218.784,43623.896,5s.4d,3D,2,5s.7f,3F*,2,,,L4447
5s4d 1D2,5s17f 1F3,even,odd,393.6037,393.6037,25399.075,,,20149.685,45548.76,5s.4d,1D,2,5s.17f,1F*,3,,,L4447
5s4d 1D2,5s19p 1P1,even,odd,394.0711,394.0710,25368.950,,,20149.685,45518.64,5s.4d,1D,2,5s.19p,1P*,1,,,L4447
5s5p 3P0,5s6d 3D1,odd,even,394.0800,394.0808,25368.377,,,14317.507,39685.830,5s.5p,3P*,0,5s.6d,3D,1,,,L7362
5s4d 1D2,5s16f 1F3,even,odd,394.3747,394.3746,25349.421,,,20149.685,45499.11,5s.4d,1D,2,5s.16f,1F*,3,,,L4447
5s4d 1D2,5s18p 1P1,even,odd,394.9374,394.9369,25313.304,,,20149.685,45463.02,5s.4d,1D,2,5s.18p,1P*,1,,,L4447
5s4d 3D3,5s7f 3F4,even,odd,395.0636,395.06361,25305.218,,,18319.261,43624.479,5s.4d,3D,3,5s.7f,3F*,4,,,L7362
5s4d 3D3,5s7f 3F3,even,odd,395.0670,395.0679,25305.001,,,18319.261,43624.205,5s.4d,3D,3,5s.7f,3F*,3,,,L4447
5s4d 1D2,5s15f 1F3,even,odd,395.3095,395.3095,25289.478,,,20149.685,45439.16,5s.4d,1D,2,5s.15f,1F*,3,,,L4447
5s4d 1D2,5s17p 1P1,even,odd,395.9961,395.9957,25245.630,,,20149.685,45395.34,5s.4d,1D,2,5s.17p,1P*,1,,,L4447
5s5p 3P1,5s6d 1D2,odd,even,396.2611,396.26133,25228.748,,,14504.334,39733.067,5s.5p,3P*,1,5s.6d,1D,2,,,L7362
5s4d 1D2,5s14f 1F3,even,odd,396.4581,396.4581,25216.212,,,20149.685,45365.90,5s.4d,1D,2,5s.14f,1F*,3,,,L4447
5s5p 3P1,5s6d 3D2,odd,even,396.9261,396.92631,25186.481,,,14504.334,39690.802,5s.5p,3P*,1,5s.6d,3D,2,,,L7362
5s5p 3P1,5s6d 3D1,odd,even,397.0043,397.0047,25181.520,,,14504.334,39685.830,5s.5p,3P*,1,5s.6d,3D,1,,,L7362
5s4d 1D2,5s16p 1P1,even,odd,397.3072,397.3075,25162.323,,,20149.685,45311.99,5s.4d,1D,2,5s.16p,1P*,1,,,L4447
5s4d 1D2,5s13f 1F3,even,odd,397.8929,397.8929,25125.284,,,20149.685,45274.97,5s.4d,1D,2,5s.13f,1F*,3,,,L4447
5s4d 1D2,5s15p 1P1,even,odd,398.9593,398.9590,25058.127,,,20149.685,45207.83,5s.4d,1D,2,5s.15p,1P*,1,,,L4447
5s4d 1D2,5s12f 1F3,even,odd,399.7174,399.7174,25010.603,,,20149.685,45160.29,5s.4d,1D,2,5s.12f,1F*,3,,,L4447
5s4d 1D2,5s14p 1P1,even,odd,401.0806,401.0805,24925.598,,,20149.685,45075.29,5s.4d,1D,2,5s.14p,1P*,1,,,L4447
5s4d 1D2,5s11f 1F3,even,odd,402.0882,402.0883,24863.138,,,20149.685,45012.82,5s.4d,1D,2,5s.11f,1F*,3,,,L4447
5s5p 3P2,5s6d 3D3,odd,even,403.0377,403.03772,24804.565,,,14898.545,39703.109,5s.5p,3P*,2,5s.6d,3D,3,,,L7362
5s5p 3P2,5s6d 3D2,odd,even,403.2379,403.23780,24792.251,,,14898.545,39690.802,5s.5p,3P*,2,5s.6d,3D,2,,,L7362
5s5p 3P2,5s6d 3D1,odd,even,403.3191,403.3187,24787.259,,,14898.545,39685.830,5s.5p,3P*,2,5s.6d,3D,1,,,L7362
5s4d 1D2,5s13p 1P1,even,odd,403.8642,403.8640,24753.804,,,20149.685,44903.50,5s.4d,1D,2,5s.13p,1P*,1,,,L4447
5s5p 1P1,5p2 1D2,odd,even,405.04,405.04,24681.9,,,21698.452,46380.1,5s.5p,1P*,1,5p2,1D,2,,,L9352
5s4d 1D2,5s10f 1F3,even,odd,405.2512,405.2512,24669.085,,,20149.685,44818.77,5s.4d,1D,2,5s.10f,1F*,3,,,L4447
5s4d 3D1,5s6f 3F2,even,odd,406.0923,406.0924,24617.991,,,18159.040,42777.023,5s.4d,3D,1,5s.6f,3F*,2,,,L4447
5s4d 3D2,5s6f 3F3,even,odd,407.0718,407.0717,24558.756,,,18218.784,42777.547,5s.4d,3D,2,5s.6f,3F*,3,,,L4447
5s4d 3D2,5s6f 3F2,even,odd,407.0805,407.0804,24558.231,,,18218.784,42777.023,5s.4d,3D,2,5s.6f,3F*,2,,,L4447
5s4d 1D2,5s12p 1P1,even,odd,407.6147,407.6146,24526.047,,,20149.685,44675.737,5s.4d,1D,2,5s.12p,1P*,1,,,L4447
5s4d 3D3,5s6f 3F4,even,odd,408.7344,408.73442,24458.861,,,18319.261,42778.121,5s.4d,3D,3,5s.6f,3F*,4,,,L7362
5s4d 3D3,5s6f 3F3,even,odd,408.7442,408.7440,24458.275,,,18319.261,42777.547,5s.4d,3D,3,5s.6f,3F*,3,,,L4447
5s4d 1D2,5s9f 1F3,even,odd,409.6063,409.6064,24406.798,,,20149.685,44556.48,5s.4d,1D,2,5s.9f,1F*,3,,,L4447
